minute,clock,participantId,champion,team,x,y,zone,totalGold,currentGold,xp,level,laneCS,jungleCS,dmgToChamps_cum,dmgTaken_cum,dmgToChamps_delta,ccApplied_ms
0,00:00,1,Darius,100,603,611,blue_base,500,500,0,1,0,0,0,0,0,0
0,00:00,2,Sylas,100,662,285,blue_base,500,500,0,1,0,0,0,0,0,0
0,00:00,3,Viktor,100,362,135,blue_base,500,500,0,1,0,0,0,0,0,0
0,00:00,4,Kaisa,100,130,401,blue_base,500,500,0,1,0,0,0,0,0,0
0,00:00,5,Leona,100,298,675,blue_base,500,100,0,1,0,0,0,0,0,0
0,00:00,6,Renekton,200,14103,14195,red_base,500,500,0,1,0,0,0,0,0,0
0,00:00,7,Ekko,200,14426,14170,red_base,500,500,0,1,0,0,0,0,0,0
0,00:00,8,Nasus,200,14321,14673,red_base,500,500,0,1,0,0,0,0,0,0
0,00:00,9,Jhin,200,14589,14454,red_base,500,500,0,1,0,0,0,0,0,0
0,00:00,10,Seraphine,200,14055,14493,red_base,500,100,0,1,0,0,0,0,0,0
1,01:00,1,Darius,100,1548,10522,top_lane,500,0,0,1,0,0,0,0,0,0
1,01:00,2,Sylas,100,3406,7980,blue_jungle_top,505,5,0,1,0,0,0,74,0,1202
1,01:00,3,Viktor,100,7418,7742,mid_lane,500,0,0,1,0,0,131,0,131,0
1,01:00,4,Kaisa,100,12333,1319,bot_lane,500,0,0,1,0,0,0,0,0,0
1,01:00,5,Leona,100,13329,1606,bot_lane,500,0,0,1,0,0,0,0,0,0
1,01:00,6,Renekton,200,3301,13189,top_lane,500,0,0,1,0,0,0,0,0,0
1,01:00,7,Ekko,200,7214,11735,red_jungle_top,500,50,0,1,0,0,0,74,0,1603
1,01:00,8,Nasus,200,8260,7480,mid_lane,500,0,0,1,0,0,0,131,0,0
1,01:00,9,Jhin,200,13712,3766,bot_lane,500,0,0,1,0,0,0,0,0,0
1,01:00,10,Seraphine,200,13438,2464,bot_lane,500,0,0,1,0,0,0,0,0,0
2,02:00,1,Darius,100,1483,11555,top_lane,735,235,496,2,7,0,641,685,641,3440
2,02:00,2,Sylas,100,4306,5942,blue_jungle_top,788,288,525,2,0,8,0,888,0,15789
2,02:00,3,Viktor,100,7488,7816,mid_lane,797,297,558,2,11,0,477,109,346,0
2,02:00,4,Kaisa,100,468,473,blue_base,746,246,302,2,7,0,577,889,577,0
2,02:00,5,Leona,100,12318,2004,bot_lane,686,186,302,2,2,0,529,1080,529,16040
2,02:00,6,Renekton,200,2320,12337,top_river,789,289,620,2,10,0,541,680,541,0
2,02:00,7,Ekko,200,10011,9456,mid_lane,887,437,690,3,0,12,0,909,0,32481
2,02:00,8,Nasus,200,8277,7738,mid_lane,701,201,536,2,5,0,0,477,0,0
2,02:00,9,Jhin,200,12783,2589,bot_lane,1488,988,438,2,10,0,1098,935,1098,0
2,02:00,10,Seraphine,200,12496,2683,bot_river,943,443,438,2,1,0,808,479,808,11606
3,03:00,1,Darius,100,516,1243,blue_base,989,189,1036,3,13,0,924,1345,283,8785
3,03:00,2,Sylas,100,9817,2618,blue_jungle_bot,1289,789,1239,4,0,24,0,1558,0,56582
3,03:00,3,Viktor,100,7190,8865,top_river,1105,605,1191,4,20,0,1722,758,1245,333
3,03:00,4,Kaisa,100,12747,3086,bot_lane,1088,588,834,3,18,0,577,893,0,0
3,03:00,5,Leona,100,11726,3747,bot_river,857,357,604,2,4,0,529,1080,0,16040
3,03:00,6,Renekton,200,1301,12322,top_lane,1431,931,1304,4,20,0,1109,1121,568,835
3,03:00,7,Ekko,200,9858,5462,bot_river,1284,834,1225,4,0,24,0,1605,0,97996
