clock,t_s,action,itemId,by,goldGain
00:00,0,PURCHASED,3865,,
00:00,0,PURCHASED,3865,,
00:02,3,PURCHASED,1103,Ekko,
00:03,4,PURCHASED,1101,Sylas,
00:03,4,PURCHASED,3340,Sylas,
00:04,4,PURCHASED,2003,Sylas,
00:07,7,PURCHASED,1055,Darius,
00:07,7,PURCHASED,2003,Darius,
00:08,8,PURCHASED,1054,Nasus,
00:08,8,PURCHASED,2003,Nasus,
00:09,10,PURCHASED,3340,Ekko,
00:10,10,PURCHASED,3340,Seraphine,
00:10,11,PURCHASED,2003,Seraphine,
00:11,11,PURCHASED,2003,Seraphine,
00:11,11,PURCHASED,1055,Renekton,
00:11,11,PURCHASED,2003,Renekton,
00:11,12,PURCHASED,3340,Renekton,
00:13,13,PURCHASED,1120,Jhin,
00:13,13,PURCHASED,2003,Jhin,
00:13,13,PURCHASED,1086,Kaisa,
00:13,13,PURCHASED,2003,Kaisa,
00:13,13,PURCHASED,2003,Kaisa,
00:16,16,PURCHASED,1056,Viktor,
00:16,16,PURCHASED,2003,Viktor,
00:16,16,PURCHASED,2003,Viktor,
00:17,17,PURCHASED,3340,Viktor,
00:18,19,PURCHASED,2003,Leona,
00:19,19,PURCHASED,2003,Leona,
01:26,87,DESTROYED,2003,Leona,
01:34,95,DESTROYED,2003,Seraphine,
01:38,99,DESTROYED,2003,Kaisa,
01:44,104,DESTROYED,2003,Kaisa,
01:49,110,DESTROYED,2003,Leona,
01:51,112,DESTROYED,2003,Jhin,
01:52,113,DESTROYED,2003,Darius,
01:56,116,DESTROYED,2003,Renekton,
02:19,139,PURCHASED,3134,Jhin,
02:19,140,PURCHASED,1052,Seraphine,
02:52,173,PURCHASED,1001,Darius,
02:59,180,DESTROYED,2003,Viktor,
03:01,182,DESTROYED,2003,Nasus,
03:03,184,PURCHASED,1037,Renekton,
03:18,199,PURCHASED,1026,Ekko,
03:19,199,PURCHASED,1082,Viktor,
03:22,202,PURCHASED,1001,Viktor,
03:32,213,DESTROYED,2010,Leona,
03:36,216,DESTROYED,2003,Sylas,
03:41,221,DESTROYED,2003,Viktor,
03:44,225,DESTROYED,1052,Seraphine,
03:44,225,PURCHASED,4642,Seraphine,
03:53,234,PURCHASED,1029,Darius,
03:58,238,PURCHASED,3145,Sylas,
03:58,239,PURCHASED,1028,Sylas,
03:58,239,PURCHASED,1036,Jhin,
03:58,239,PURCHASED,2022,Sylas,
03:59,240,UNDO,1036->0,Jhin,350
03:59,240,DESTROYED,3340,Sylas,
03:59,240,PURCHASED,3364,Sylas,
04:00,241,PURCHASED,1083,Jhin,
04:06,246,PURCHASED,1036,Renekton,
04:06,247,PURCHASED,1001,Nasus,
04:06,247,PURCHASED,1033,Nasus,
04:09,249,PURCHASED,2031,Renekton,
04:11,251,PURCHASED,2031,Nasus,
04:22,262,PURCHASED,1037,Kaisa,
04:25,265,PURCHASED,1052,Kaisa,
04:32,272,PURCHASED,1001,Leona,
04:34,274,PURCHASED,1029,Leona,
04:34,275,PURCHASED,1029,Leona,
04:36,276,DESTROYED,3340,Leona,
04:36,276,PURCHASED,3364,Leona,
05:09,309,DESTROYED,1001,Nasus,
