clock,t_s,champion,skillSlot,levelUpType
28:52,1732,Seraphine,2,NORMAL
29:30,1770,Renekton,2,NORMAL
29:50,1791,Leona,1,NORMAL
29:53,1794,Darius,4,NORMAL
29:55,1795,Viktor,4,NORMAL
30:42,1842,Kaisa,2,NORMAL
30:53,1854,Jhin,3,NORMAL
31:26,1887,Ekko,2,NORMAL
31:29,1890,Sylas,1,NORMAL
32:06,1926,Kaisa,2,NORMAL
