clock,t_s,killer,victim,assists,x,y,zone,bounty,shutdownBounty,killStreak,victim_allies_within_2500,victim_enemies_within_2500
01:49,110,Jhin,Kaisa,Seraphine,11627,1886,bot_lane,400,0,0,1,2
01:55,116,Jhin,Leona,Seraphine,12318,2004,bot_lane,300,0,1,0,2
02:46,167,Renekton,Darius,,1297,10250,top_lane,300,0,0,0,1
03:10,191,Seraphine,Viktor,Nasus|Jhin,4710,9652,top_river,300,0,0,0,0
03:31,211,Sylas,Seraphine,Leona,9848,6550,red_jungle_bot,300,89,0,1,2
03:42,222,Renekton,Darius,,2697,12500,top_river,230,0,1,0,1
03:50,230,Sylas,Jhin,Leona,9048,8672,mid_lane,300,168,1,1,3
03:51,231,Nasus,Sylas,Jhin,9168,8739,mid_lane,300,26,0,2,2
05:03,303,Sylas,Nasus,Darius|Viktor,8129,7894,mid_lane,300,46,0,0,3
05:37,337,Ekko,Leona,Jhin|Seraphine,9629,2473,blue_jungle_bot,282,0,0,1,2
05:37,337,Kaisa,Ekko,Sylas|Leona,9550,2502,blue_jungle_bot,300,0,0,2,1
06:13,374,Sylas,Seraphine,Kaisa|Leona,11486,1865,bot_lane,287,0,1,1,1
06:24,385,Sylas,Jhin,Leona,13517,2875,bot_lane,300,0,2,1,0
08:07,487,Ekko,Kaisa,Seraphine,8100,3441,blue_jungle_bot,300,0,0,1,1
08:08,489,Sylas,Ekko,Viktor|Kaisa|Leona,8292,3600,blue_jungle_bot,310,0,3,0,1
08:22,503,Sylas,Jhin,Leona,11495,3139,bot_river,250,0,4,1,0
09:29,569,Kaisa,Jhin,Sylas,12585,2857,bot_river,166,0,0,0,1
10:00,601,Renekton,Darius,Seraphine,1507,12433,top_lane,307,0,2,1,2
10:06,606,Seraphine,Leona,Renekton,1457,11725,top_lane,300,0,0,1,2
10:21,621,Sylas,Ekko,,4988,12340,red_jungle_top,320,0,5,0,0
11:49,709,Sylas,Seraphine,Kaisa|Leona,12949,2552,bot_lane,300,0,6,0,3
13:11,791,Viktor,Seraphine,,8244,8057,mid_lane,239,0,0,1,1
