clock,t_s,killer,victim,assists,x,y,zone,bounty,shutdownBounty,killStreak,victim_allies_within_2500,victim_enemies_within_2500
13:12,792,Renekton,Darius,Ekko,1178,10343,top_lane,237,0,3,1,2
13:12,793,Sylas,Renekton,Darius|Leona,1862,11664,top_lane,350,0,7,1,2
13:18,798,Sylas,Ekko,Leona,1337,11765,top_lane,330,0,8,1,2
14:25,865,Jhin,Darius,,3171,12143,top_river,170,0,0,0,1
14:39,879,Sylas,Ekko,Leona,12682,6368,bot_lane,252,0,9,1,0
14:48,889,Sylas,Seraphine,Leona,9779,7657,red_jungle_bot,170,0,10,1,0
14:53,894,Renekton,Viktor,,11898,2781,bot_river,350,63,0,2,1
15:04,905,Sylas,Renekton,Viktor|Leona,12238,1375,bot_lane,360,0,11,0,3
15:43,943,Darius,Jhin,Kaisa,5796,12628,top_lane,301,0,0,2,1
15:49,949,Ekko,Darius,Nasus|Jhin|Seraphine,5747,12375,red_jungle_top,218,0,0,0,3
16:39,1000,Sylas,Seraphine,Kaisa|Leona,9521,5956,bot_river,120,0,12,0,0
17:34,1054,Jhin,Darius,Nasus,5445,13963,top_lane,150,0,0,0,1
18:23,1103,Ekko,Viktor,Nasus|Seraphine,3635,13118,top_lane,360,0,1,1,0
18:36,1116,Sylas,Ekko,Viktor|Leona,6720,13920,top_lane,360,0,13,1,3
18:38,1119,Sylas,Seraphine,Viktor|Kaisa|Leona,6948,14042,top_lane,135,0,14,1,3
19:43,1184,Sylas,Nasus,Viktor|Leona,6885,8194,mid_lane,360,0,15,1,1
20:12,1212,Ekko,Sylas,Renekton|Jhin|Seraphine,8435,7514,mid_lane,380,700,0,1,4
20:21,1221,Renekton,Viktor,Seraphine,5296,5290,mid_lane,334,0,0,0,0
20:23,1223,Jhin,Leona,Ekko|Seraphine,8900,6058,bot_river,340,50,1,1,1
20:24,1224,Darius,Renekton,Sylas|Viktor|Leona,6415,4835,blue_jungle_bot,380,0,0,0,0
22:02,1323,Renekton,Viktor,Jhin|Seraphine,13977,5512,bot_lane,254,0,0,1,3
22:22,1343,Nasus,Sylas,Renekton|Seraphine,13013,1954,bot_lane,390,700,0,0,0
22:22,1343,Darius,Seraphine,Sylas,13510,1809,bot_lane,259,0,1,0,0
22:31,1351,Renekton,Darius,Nasus|Jhin|Seraphine,12320,1387,bot_lane,370,0,1,2,3
22:32,1352,Kaisa,Renekton,Darius|Sylas|Leona,12583,1803,bot_lane,390,0,1,3,3
22:38,1358,Kaisa,Nasus,Darius|Leona,11001,1206,bot_lane,370,0,2,1,3
22:49,1370,Kaisa,Jhin,Leona,13362,2769,bot_lane,370,0,3,2,3
23:11,1391,Ekko,Kaisa,,13958,5783,bot_lane,380,554,1,0,0
23:11,1392,Kaisa,Ekko,,13897,5541,bot_lane,380,0,0,0,1
24:11,1452,Ekko,Sylas,Renekton|Nasus|Seraphine,7446,11646,red_jungle_top,390,0,0,1,1
24:13,1454,Ekko,Darius,Renekton|Nasus,7251,11494,red_jungle_top,327,0,1,1,1
24:17,1457,Viktor,Renekton,Darius|Sylas|Leona,7102,12698,top_lane,400,0,0,1,3
24:17,1457,Ekko,Leona,Renekton|Nasus|Jhin|Seraphine,7611,11959,red_jungle_top,360,0,2,2,1
24:31,1472,Ekko,Viktor,Nasus|Seraphine,7247,8048,mid_lane,328,0,3,0,0
25:44,1544,Ekko,Sylas,Nasus|Seraphine,8632,7601,mid_lane,345,0,4,1,0
25:52,1552,Jhin,Leona,Ekko|Nasus|Seraphine,6329,8412,top_river,281,0,0,2,1
25:52,1553,Ekko,Viktor,Renekton|Nasus|Seraphine,5778,6963,mid_lane,193,0,5,1,5
28:03,1684,Kaisa,Nasus,Darius|Sylas|Viktor|Leona,1501,5967,top_lane,390,59,1,4,5
28:03,1684,Ekko,Viktor,Renekton|Nasus|Seraphine,1637,5094,top_lane,187,0,6,4,5
28:06,1686,Ekko,Leona,Renekton|Nasus|Jhin|Seraphine,1072,5798,top_lane,184,0,7,4,5
28:06,1687,Kaisa,Renekton,Sylas|Viktor|Leona,2157,5428,top_lane,410,135,2,4,5
28:15,1695,Ekko,Darius,Jhin|Seraphine,1100,7675,top_lane,290,0,8,3,5
28:26,1706,Ekko,Sylas,Jhin|Seraphine,1748,7504,top_lane,309,0,9,3,5
28:35,1716,Jhin,Kaisa,Seraphine,3284,9074,blue_jungle_top,400,0,1,1,0
29:48,1789,Viktor,Ekko,Sylas|Kaisa|Leona,6612,3157,blue_jungle_bot,410,700,0,2,5
29:55,1796,Viktor,Seraphine,Darius|Sylas|Kaisa|Leona,7690,3334,blue_jungle_bot,390,0,1,2,5
30:05,1805,Kaisa,Nasus,Darius|Sylas|Viktor,9792,2523,blue_jungle_bot,334,0,0,2,5
31:10,1870,Renekton,Darius,Jhin,6360,1012,bot_lane,284,0,0,0,1
31:25,1885,Ekko,Sylas,Seraphine,6017,10264,top_river,280,0,0,1,2
31:28,1889,Viktor,Seraphine,Leona,6341,10106,red_jungle_top,321,0,2,1,2
31:47,1908,Jhin,Viktor,Renekton|Nasus,1342,2310,blue_jungle_top,400,0,2,1,3
31:47,1908,Kaisa,Nasus,Viktor,1867,2060,blue_jungle_top,236,0,1,2,2
31:52,1912,Kaisa,Jhin,Viktor,1804,1338,blue_base,410,324,2,1,2
31:52,1912,Ekko,Leona,,5460,8518,top_river,214,0,1,1,1
32:09,1930,Kaisa,Renekton,Darius,2750,1736,blue_jungle_bot,420,51,3,2,2
32:14,1935,Darius,Ekko,Kaisa,1645,2019,blue_jungle_top,420,372,0,3,2
