minute,clock,blue_gold,red_gold,diff_blue_minus_red
0,00:00,2500,2500,0
1,01:00,3095,2505,590
2,02:00,4137,4057,80
3,03:00,5344,6107,-763
4,04:00,6652,7551,-899
5,05:00,8081,9187,-1106
6,06:00,10151,11411,-1260
7,07:00,12642,13177,-535
8,08:00,14174,14486,-312
9,09:00,16180,15891,289
10,10:00,18503,17914,589
11,11:00,20831,19525,1306
12,12:00,23940,21594,2346
13,13:00,25952,22964,2988
14,14:00,28158,24249,3909
15,15:00,30273,26225,4048
16,16:00,33299,27269,6030
17,17:00,34874,29214,5660
18,18:00,37802,30414,7388
19,19:00,41313,31454,9859
20,20:00,42792,34445,8347
21,21:00,45175,35909,9266
22,22:00,48014,37208,10806
23,23:00,50447,38475,11972
24,24:00,54398,39625,14773
24,24:10,55545,39775,15770
