clock,t_s,event,detail,team,killer,x,y,lane
04:21,261,TURRET_PLATE_DESTROYED,PLATE,100,Shen,981,10441,TOP_LANE
05:23,323,TURRET_PLATE_DESTROYED,PLATE,100,,10504,1029,BOT_LANE
05:50,351,TURRET_PLATE_DESTROYED,PLATE,200,Riven,4318,13875,TOP_LANE
06:09,370,TURRET_PLATE_DESTROYED,PLATE,200,Ashe,13866,4505,BOT_LANE
06:23,383,TURRET_PLATE_DESTROYED,PLATE,200,,13866,4505,BOT_LANE
08:21,501,TURRET_PLATE_DESTROYED,PLATE,200,Riven,4318,13875,TOP_LANE
08:26,506,ELITE_MONSTER_KILL,HORDE,100,Locke,4790,10182,
08:32,512,ELITE_MONSTER_KILL,HORDE,100,Ekko,4728,10513,
08:37,518,ELITE_MONSTER_KILL,HORDE,100,Ekko,5089,10354,
08:42,522,ELITE_MONSTER_KILL,DRAGON/AIR_DRAGON,200,Diana,10009,4649,
09:50,591,TURRET_PLATE_DESTROYED,PLATE,100,,10504,1029,BOT_LANE
11:12,673,TURRET_PLATE_DESTROYED,PLATE,200,Riven,4318,13875,TOP_LANE
11:14,675,TURRET_PLATE_DESTROYED,PLATE,200,Ashe,13866,4505,BOT_LANE
11:27,688,TURRET_PLATE_DESTROYED,PLATE,200,Locke,8955,8510,MID_LANE
11:34,694,TURRET_PLATE_DESTROYED,PLATE,200,Locke,8955,8510,MID_LANE
11:53,713,TURRET_PLATE_DESTROYED,PLATE,200,Riven,4318,13875,TOP_LANE
11:54,715,TURRET_PLATE_DESTROYED,PLATE,100,Janna,10504,1029,BOT_LANE
12:17,737,TURRET_PLATE_DESTROYED,PLATE,100,Aphelios,10504,1029,BOT_LANE
13:02,782,TURRET_PLATE_DESTROYED,PLATE,200,Locke,8955,8510,MID_LANE
13:13,793,TURRET_PLATE_DESTROYED,PLATE,200,Riven,4318,13875,TOP_LANE
13:13,793,BUILDING_KILL,TOWER_BUILDING/OUTER_TURRET,200,Riven,4318,13875,TOP_LANE
14:04,844,TURRET_PLATE_DESTROYED,PLATE,100,Aphelios,5846,6396,MID_LANE
14:05,846,OBJECTIVE_BOUNTY_PRESTART,,200,,,,
14:21,861,ELITE_MONSTER_KILL,DRAGON/WATER_DRAGON,100,Ekko,9837,4397,
14:21,862,DRAGON_SOUL_GIVEN,Mountain,0,,,,
14:36,876,TURRET_PLATE_DESTROYED,PLATE,200,Locke,13866,4505,BOT_LANE
14:36,877,TURRET_PLATE_DESTROYED,PLATE,100,Aphelios,5846,6396,MID_LANE
14:40,881,TURRET_PLATE_DESTROYED,PLATE,200,Ashe,13866,4505,BOT_LANE
14:40,881,BUILDING_KILL,TOWER_BUILDING/OUTER_TURRET,200,Ashe,13866,4505,BOT_LANE
14:54,894,TURRET_PLATE_DESTROYED,PLATE,100,Aphelios,5846,6396,MID_LANE
15:18,918,TURRET_PLATE_DESTROYED,PLATE,200,,13327,8226,BOT_LANE
15:53,954,TURRET_PLATE_DESTROYED,PLATE,200,Ashe,8955,8510,MID_LANE
15:59,959,TURRET_PLATE_DESTROYED,PLATE,200,Ashe,8955,8510,MID_LANE
15:59,959,BUILDING_KILL,TOWER_BUILDING/OUTER_TURRET,200,Ashe,8955,8510,MID_LANE
16:06,966,TURRET_PLATE_DESTROYED,PLATE,200,Riven,7943,13411,TOP_LANE
16:23,984,ELITE_MONSTER_KILL,RIFTHERALD,100,Seraphine,4882,9980,
17:23,1044,TURRET_PLATE_DESTROYED,PLATE,200,Riven,13327,8226,BOT_LANE
17:27,1048,TURRET_PLATE_DESTROYED,PLATE,200,Ashe,9767,10113,MID_LANE
17:32,1053,TURRET_PLATE_DESTROYED,PLATE,200,Ashe,9767,10113,MID_LANE
17:40,1060,TURRET_PLATE_DESTROYED,PLATE,200,Ekko,9767,10113,MID_LANE
17:43,1064,TURRET_PLATE_DESTROYED,PLATE,200,Riven,13327,8226,BOT_LANE
18:11,1091,TURRET_PLATE_DESTROYED,PLATE,200,Riven,13327,8226,BOT_LANE
18:11,1092,TURRET_PLATE_DESTROYED,PLATE,200,Ekko,9767,10113,MID_LANE
18:11,1092,TURRET_PLATE_DESTROYED,PLATE,200,Ekko,9767,10113,MID_LANE
18:11,1092,BUILDING_KILL,TOWER_BUILDING/INNER_TURRET,200,Ekko,9767,10113,MID_LANE
18:14,1094,TURRET_PLATE_DESTROYED,PLATE,200,Riven,13327,8226,BOT_LANE
18:14,1094,BUILDING_KILL,TOWER_BUILDING/INNER_TURRET,200,Riven,13327,8226,BOT_LANE
18:23,1104,TURRET_PLATE_DESTROYED,PLATE,200,Ashe,7943,13411,TOP_LANE
18:23,1104,TURRET_PLATE_DESTROYED,PLATE,200,Ashe,7943,13411,TOP_LANE
18:24,1104,TURRET_PLATE_DESTROYED,PLATE,200,Ashe,7943,13411,TOP_LANE
18:31,1112,TURRET_PLATE_DESTROYED,PLATE,200,Ashe,7943,13411,TOP_LANE
18:31,1112,BUILDING_KILL,TOWER_BUILDING/INNER_TURRET,200,Ashe,7943,13411,TOP_LANE
18:49,1129,TURRET_PLATE_DESTROYED,PLATE,200,,13624,10572,BOT_LANE
19:02,1142,TURRET_PLATE_DESTROYED,PLATE,200,Ashe,10481,13650,TOP_LANE
19:05,1145,TURRET_PLATE_DESTROYED,PLATE,200,,10481,13650,TOP_LANE
19:08,1148,TURRET_PLATE_DESTROYED,PLATE,200,Riven,10481,13650,TOP_LANE
19:11,1151,TURRET_PLATE_DESTROYED,PLATE,200,Locke,10481,13650,TOP_LANE
20:18,1218,ELITE_MONSTER_KILL,DRAGON/EARTH_DRAGON,100,Ashe,9837,4397,
21:30,1291,TURRET_PLATE_DESTROYED,PLATE,100,,981,10441,TOP_LANE
21:49,1310,ELITE_MONSTER_KILL,BARON_NASHOR,100,Ekko,5007,10471,
23:11,1391,TURRET_PLATE_DESTROYED,PLATE,200,Locke,13624,10572,BOT_LANE
23:12,1393,TURRET_PLATE_DESTROYED,PLATE,200,Ekko,13624,10572,BOT_LANE
23:14,1394,TURRET_PLATE_DESTROYED,PLATE,200,Locke,13624,10572,BOT_LANE
23:16,1397,TURRET_PLATE_DESTROYED,PLATE,200,Locke,13624,10572,BOT_LANE
23:16,1397,BUILDING_KILL,TOWER_BUILDING/BASE_TURRET,200,Locke,13624,10572,BOT_LANE
23:18,1398,TURRET_PLATE_DESTROYED,PLATE,200,Riven,11134,11207,MID_LANE
23:18,1399,TURRET_PLATE_DESTROYED,PLATE,200,,11134,11207,MID_LANE
23:26,1406,TURRET_PLATE_DESTROYED,PLATE,200,,11134,11207,MID_LANE
23:32,1413,BUILDING_KILL,INHIBITOR_BUILDING/,200,Ekko,13599,11319,BOT_LANE
23:38,1418,TURRET_PLATE_DESTROYED,PLATE,200,,11134,11207,MID_LANE
23:44,1424,TURRET_PLATE_DESTROYED,PLATE,200,Ashe,11134,11207,MID_LANE
23:44,1424,BUILDING_KILL,TOWER_BUILDING/BASE_TURRET,200,Ashe,11134,11207,MID_LANE
23:48,1429,BUILDING_KILL,TOWER_BUILDING/NEXUS_TURRET,200,Locke,13052,12612,MID_LANE
23:56,1437,BUILDING_KILL,TOWER_BUILDING/NEXUS_TURRET,200,Ekko,12611,13084,MID_LANE
24:01,1442,BUILDING_KILL,INHIBITOR_BUILDING/,200,Riven,11593,11669,MID_LANE
