clock,t_s,action,itemId,by,goldGain
11:00,661,PURCHASED,1052,Diana,
11:01,661,DESTROYED,1038,Aphelios,
11:01,661,DESTROYED,3144,Aphelios,
11:01,661,PURCHASED,3097,Aphelios,
11:02,663,PURCHASED,1001,Aphelios,
11:09,670,DESTROYED,3057,Ekko,
11:09,670,DESTROYED,1026,Ekko,
11:09,670,DESTROYED,1028,Ekko,
11:09,670,DESTROYED,1042,Ekko,
11:09,670,PURCHASED,2510,Ekko,
11:10,670,DESTROYED,1001,Janna,
11:10,670,PURCHASED,3009,Janna,
11:12,672,PURCHASED,1043,Ekko,
11:17,677,DESTROYED,1201,Locke,
11:22,682,DESTROYED,2022,Seraphine,
11:22,682,PURCHASED,3067,Seraphine,
11:22,682,PURCHASED,1028,Sylas,
11:23,683,PURCHASED,1052,Seraphine,
11:26,687,DESTROYED,1018,Ashe,
11:26,687,PURCHASED,6670,Ashe,
11:27,688,PURCHASED,1036,Ashe,
11:31,691,DESTROYED,1200,Riven,
11:43,703,DESTROYED,1001,Locke,
11:43,703,DESTROYED,3020,Locke,
11:43,703,PURCHASED,3020,Locke,
11:46,707,PURCHASED,1029,Locke,
11:54,714,DESTROYED,1028,Shen,
11:54,714,PURCHASED,1011,Shen,
11:54,715,PURCHASED,1028,Shen,
11:54,715,DESTROYED,1202,Aphelios,
11:54,715,DESTROYED,1001,Aphelios,
11:54,715,DESTROYED,1207,Aphelios,
12:19,740,PURCHASED,3008,Riven,
12:20,740,DESTROYED,1202,Ashe,
12:20,740,DESTROYED,3006,Ashe,
12:20,740,DESTROYED,1207,Ashe,
12:21,741,DESTROYED,1036,Riven,
12:21,741,PURCHASED,3133,Riven,
12:30,751,DESTROYED,3866,Janna,
12:30,751,DESTROYED,1203,Janna,
12:48,768,DESTROYED,3867,Janna,
12:57,778,DESTROYED,2010,Ashe,
13:00,780,DESTROYED,3145,Sylas,
13:00,780,DESTROYED,3108,Sylas,
13:00,780,DESTROYED,1028,Sylas,
13:00,780,PURCHASED,3152,Sylas,
13:00,780,DESTROYED,3020,Sylas,
13:00,780,DESTROYED,1201,Sylas,
13:08,789,DESTROYED,2150,Aphelios,
13:10,790,DESTROYED,1222,Shen,
13:29,810,DESTROYED,1001,Aphelios,
13:29,810,PURCHASED,3008,Aphelios,
13:33,814,DESTROYED,1037,Ashe,
13:33,814,DESTROYED,6670,Ashe,
13:33,814,DESTROYED,1036,Ashe,
13:33,814,PURCHASED,2523,Ashe,
13:35,815,PURCHASED,1042,Ashe,
13:35,815,PURCHASED,1042,Ashe,
13:35,815,DESTROYED,1052,Seraphine,
13:35,815,PURCHASED,4642,Seraphine,
13:35,815,PURCHASED,1042,Ashe,
13:37,817,DESTROYED,1052,Diana,
13:37,817,DESTROYED,1028,Diana,
13:37,817,PURCHASED,3147,Diana,
13:38,818,DESTROYED,2022,Diana,
13:38,818,PURCHASED,3108,Diana,
13:39,820,PURCHASED,2055,Diana,
13:47,828,PURCHASED,1037,Riven,
13:48,829,DESTROYED,1204,Ekko,
13:48,829,DESTROYED,1101,Ekko,
13:55,836,DESTROYED,1052,Locke,
13:55,836,DESTROYED,1029,Locke,
13:55,836,PURCHASED,2420,Locke,
13:59,840,DESTROYED,1004,Janna,
13:59,840,PURCHASED,4642,Janna,
14:00,841,DESTROYED,2055,Janna,
14:00,841,DESTROYED,1208,Janna,
14:00,841,PURCHASED,2055,Janna,
14:12,853,DESTROYED,1204,Diana,
14:12,853,DESTROYED,1103,Diana,
