clock,t_s,champion,skillSlot,levelUpType
00:00,0,,1,NORMAL
00:00,0,,2,NORMAL
00:00,0,,3,NORMAL
00:10,11,Locke,1,NORMAL
00:16,17,Shen,1,NORMAL
00:22,22,Janna,2,NORMAL
00:29,29,Diana,1,NORMAL
00:30,30,Seraphine,3,NORMAL
00:38,39,Ekko,1,NORMAL
00:52,52,Sylas,1,NORMAL
00:59,59,Riven,1,NORMAL
01:00,61,Ashe,2,NORMAL
01:01,62,Aphelios,1,NORMAL
01:12,73,Ekko,3,NORMAL
01:16,77,Locke,3,NORMAL
01:32,93,Sylas,3,NORMAL
01:38,99,Shen,3,NORMAL
01:46,106,Ashe,1,NORMAL
01:46,106,Seraphine,1,NORMAL
01:47,108,Janna,3,NORMAL
01:54,114,Aphelios,1,NORMAL
02:12,133,Diana,2,NORMAL
02:33,153,Janna,1,NORMAL
02:34,154,Riven,2,NORMAL
02:48,168,Seraphine,2,NORMAL
02:48,168,Riven,3,NORMAL
02:52,172,Ekko,1,NORMAL
02:59,179,Aphelios,1,NORMAL
03:02,182,Diana,3,NORMAL
03:04,184,Shen,2,NORMAL
03:05,185,Locke,2,NORMAL
03:14,195,Sylas,2,NORMAL
03:24,205,Ashe,3,NORMAL
03:32,213,Shen,1,NORMAL
03:50,231,Riven,1,NORMAL
03:53,233,Sylas,1,NORMAL
03:54,235,Ekko,2,NORMAL
04:02,243,Ashe,2,NORMAL
04:09,250,Locke,1,NORMAL
04:12,252,Diana,1,NORMAL
04:13,253,Shen,1,NORMAL
04:23,263,Aphelios,2,NORMAL
04:48,289,Riven,1,NORMAL
04:51,292,Janna,3,NORMAL
04:57,298,Sylas,2,NORMAL
05:02,303,Locke,1,NORMAL
05:17,318,Aphelios,1,NORMAL
05:33,333,Riven,4,NORMAL
05:35,336,Ekko,1,NORMAL
05:48,348,Seraphine,1,NORMAL
05:48,349,Diana,1,NORMAL
06:05,365,Ashe,2,NORMAL
06:09,369,Locke,4,NORMAL
06:13,374,Sylas,4,NORMAL
06:22,382,Shen,4,NORMAL
06:31,392,Ekko,4,NORMAL
06:39,400,Janna,3,NORMAL
06:54,414,Aphelios,4,NORMAL
07:04,424,Seraphine,1,NORMAL
07:04,425,Aphelios,2,NORMAL
07:15,436,Riven,1,NORMAL
07:20,440,Diana,4,NORMAL
07:41,462,Ashe,4,NORMAL
07:43,463,Shen,1,NORMAL
07:59,480,Ekko,1,NORMAL
08:02,482,Locke,1,NORMAL
08:13,493,Sylas,1,NORMAL
08:51,531,Riven,3,NORMAL
09:07,548,Janna,4,NORMAL
09:11,552,Aphelios,1,NORMAL
09:19,560,Diana,1,NORMAL
09:27,567,Ashe,2,NORMAL
09:28,569,Locke,3,NORMAL
09:30,571,Sylas,1,NORMAL
09:43,584,Riven,1,NORMAL
09:54,595,Seraphine,4,NORMAL
09:57,597,Ekko,3,NORMAL
10:00,600,Locke,1,NORMAL
10:00,600,Shen,3,NORMAL
11:01,661,Janna,3,NORMAL
11:05,665,Seraphine,2,NORMAL
11:26,686,Shen,1,NORMAL
11:26,687,Locke,2,NORMAL
11:31,692,Aphelios,3,NORMAL
11:32,692,Riven,3,NORMAL
11:45,706,Riven,4,NORMAL
12:01,721,Ashe,1,NORMAL
12:02,722,Sylas,1,NORMAL
12:24,744,Diana,2,NORMAL
12:48,768,Ekko,1,NORMAL
13:06,787,Aphelios,1,NORMAL
13:09,789,Aphelios,2,NORMAL
13:20,801,Seraphine,2,NORMAL
13:31,812,Locke,4,NORMAL
13:35,815,Shen,3,NORMAL
13:35,816,Diana,1,NORMAL
14:10,851,Riven,3,NORMAL
14:17,857,Ashe,2,NORMAL
14:49,889,Diana,2,NORMAL
14:52,892,Ekko,3,NORMAL
14:59,899,Aphelios,2,NORMAL
15:07,907,Janna,2,NORMAL
15:26,926,Locke,3,NORMAL
15:29,930,Ashe,1,NORMAL
15:43,943,Shen,4,NORMAL
16:02,963,Riven,3,NORMAL
16:59,1019,Diana,4,NORMAL
17:06,1026,Ekko,4,NORMAL
17:40,1061,Ashe,4,NORMAL
17:41,1062,Janna,3,NORMAL
17:46,1066,Shen,3,NORMAL
17:50,1071,Sylas,2,NORMAL
18:06,1087,Seraphine,2,NORMAL
18:07,1087,Riven,2,NORMAL
18:20,1101,Ekko,3,NORMAL
18:34,1115,Locke,2,NORMAL
19:24,1165,Diana,2,NORMAL
19:40,1180,Aphelios,4,NORMAL
19:43,1184,Shen,3,NORMAL
20:10,1210,Sylas,4,NORMAL
20:12,1212,Aphelios,2,NORMAL
20:25,1225,Ashe,1,NORMAL
20:31,1232,Riven,2,NORMAL
20:49,1249,Ekko,3,NORMAL
21:00,1260,Locke,2,NORMAL
21:17,1278,Janna,2,NORMAL
21:43,1304,Diana,2,NORMAL
21:52,1312,Seraphine,2,NORMAL
21:55,1315,Ashe,1,NORMAL
21:57,1318,Riven,4,NORMAL
22:24,1344,Ekko,2,NORMAL
22:27,1348,Locke,2,NORMAL
23:00,1380,Sylas,2,NORMAL
23:04,1384,Shen,2,NORMAL
23:06,1386,Aphelios,3,NORMAL
23:28,1409,Seraphine,4,NORMAL
